p, w, r, config,
5, 8, 8, 1,
5, 8, 7, 2,
5, 8, 6, 3,
5, 8, 5, 4,
5, 8, 4, 5,
5, 8, 3, 6,
5, 8, 2, 7,
5, 8, 1, 8,
5, 8, 0, 9,
5, 7, 8, 2,
5, 7, 7, 4,
5, 7, 6, 6,
5, 7, 5, 8,
5, 7, 4, 10,
5, 7, 3, 12,
5, 7, 2, 14,
5, 7, 1, 16,
5, 7, 0, 18,
5, 6, 8, 3,
5, 6, 7, 6,
5, 6, 6, 9,
5, 6, 5, 12,
5, 6, 4, 15,
5, 6, 3, 18,
5, 6, 2, 21,
5, 6, 1, 24,
5, 6, 0, 27,
5, 5, 8, 4,
5, 5, 7, 8,
5, 5, 6, 12,
5, 5, 5, 16,
5, 5, 4, 20,
5, 5, 3, 24,
5, 5, 2, 28,
5, 5, 1, 32,
5, 5, 0, 36,
5, 4, 8, 5,
5, 4, 7, 10,
5, 4, 6, 15,
5, 4, 5, 20,
5, 4, 4, 25,
5, 4, 3, 30,
5, 4, 2, 35,
5, 4, 1, 40,
5, 4, 0, 45,
5, 3, 8, 6,
5, 3, 7, 12,
5, 3, 6, 18,
5, 3, 5, 24,
5, 3, 4, 30,
5, 3, 3, 36,
5, 3, 2, 42,
5, 3, 1, 48,
5, 3, 0, 54,
5, 2, 8, 7,
5, 2, 7, 14,
5, 2, 6, 21,
5, 2, 5, 28,
5, 2, 4, 35,
5, 2, 3, 42,
5, 2, 2, 49,
5, 2, 1, 56,
5, 2, 0, 63,
5, 1, 8, 8,
5, 1, 7, 16,
5, 1, 6, 24,
5, 1, 5, 32,
5, 1, 4, 40,
5, 1, 3, 48,
5, 1, 2, 56,
5, 1, 1, 64,
5, 1, 0, 72,
5, 0, 8, 9,
5, 0, 7, 18,
5, 0, 6, 27,
5, 0, 5, 36,
5, 0, 4, 45,
5, 0, 3, 54,
5, 0, 2, 63,
5, 0, 1, 72,
5, 0, 0, 81,
4, 8, 8, 2,
4, 8, 7, 4,
4, 8, 6, 6,
4, 8, 5, 8,
4, 8, 4, 10,
4, 8, 3, 12,
4, 8, 2, 14,
4, 8, 1, 16,
4, 8, 0, 18,
4, 7, 8, 4,
4, 7, 7, 8,
4, 7, 6, 12,
4, 7, 5, 16,
4, 7, 4, 20,
4, 7, 3, 24,
4, 7, 2, 28,
4, 7, 1, 32,
4, 7, 0, 36,
4, 6, 8, 6,
4, 6, 7, 12,
4, 6, 6, 18,
4, 6, 5, 24,
4, 6, 4, 30,
4, 6, 3, 36,
4, 6, 2, 42,
4, 6, 1, 48,
4, 6, 0, 54,
4, 5, 8, 8,
4, 5, 7, 16,
4, 5, 6, 24,
4, 5, 5, 32,
