QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
1x; Ugin, the Spirit Dragon; Fate Reforged; ; 8; 8; 1; 0; 0; M; 93.24; Legendary Planeswalker - Ugin; "+2: Ugin, the Spirit Dragon deals 3 damage to any target.
X: Exile each permanent with converted mana cost X or less that's one or more colors.
10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield."; "• If you choose to put permanent cards with morph onto the battlefield with the third ability, you must put them onto the battlefield face up.
• Ugin, the Spirit Dragon is not a Dragon card; that is, he doesn't have the creature type Dragon. Spells and abilities that refer to Dragon cards or Dragons don't apply to Ugin."
1x; Wurmcoil Engine; Commander 2014; ; 6; 6; 1; 6; 6; M; 33.3; Artifact Creature - Wurm; "Deathtouch, lifelink
When Wurmcoil Engine dies, create a 3/3 colorless Wurm artifact creature token with deathtouch and a 3/3 colorless Wurm artifact creature token with lifelink."; "• The two creature tokens enter the battlefield at the same time.
• It must be clear to all players which token has deathtouch and which token has lifelink."
1x; Teferi, Temporal Archmage; Commander 2014; ; 6; 4UU; 1; 0; 0; M; 30.636; Legendary Planeswalker - Teferi; "+1: Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.
1: Untap up to four target permanents.
10: You get an emblem with "You may activate loyalty abilities of planeswalkers you control on any player's turn any time you could cast an instant."
Teferi, Temporal Archmage can be your commander."; "• If you control Teferi's emblem, the rule that says you can activate a loyalty ability only if none of that permanent's loyalty abilities have been activated that turn still applies. In other words, you could activate a planeswalker's loyalty ability once on your turn and once on each of your opponents' turns.
• If you control The Chain Veil (from the Magic 2015 core set) and its activated ability has resolved, and you also control Teferi's emblem, for each planeswalker you control, you can activate one of its loyalty abilities during that turn any time you could cast an instant, and then you may activate a loyalty ability again that turn (choosing the same loyalty ability or a different one) any time you could cast an instant."
1x; Ghoulcaller Gisa; Commander 2014; ; 5; 3BB; 1; 4; 3; M; 27.7722; Legendary Creature - Human Wizard; "{B}, {T}, Sacrifice another creature: Create X 2/2 black Zombie creature tokens, where X is the sacrificed creature's power."; ""
1x; Grave Titan; Commander 2014; ; 6; 4BB; 1; 6; 6; M; 19.9933; Creature - Giant; "Deathtouch
Whenever Grave Titan enters the battlefield or attacks, create two 2/2 black Zombie creature tokens."; ""
1x; It That Betrays; Duel Decks: Zendikar vs. Eldrazi; ; 12; {12}; 1; 11; 11; R; 15.9707; Creature - Eldrazi; "Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)
Whenever an opponent sacrifices a nontoken permanent, put that card onto the battlefield under your control."; "• Annihilator abilities trigger and resolve during the declare attackers step. The defending player chooses and sacrifices the required number of permanents before they declare blockers. Any creatures sacrificed this way won't be able to block.
• If a creature with annihilator is attacking a planeswalker, and the defending player chooses to sacrifice that planeswalker, the attacking creature continues to attack. It may be blocked. If it isn't blocked, it simply won't deal combat damage to anything.
• The second ability triggers whenever an opponent sacrifices a nontoken permanent for any reason, not just due to the annihilator ability.
• It doesn't matter whose graveyard the permanent is put into, only that it was last controlled by, and sacrificed by, an opponent.
• If an opponent sacrifices a nontoken permanent as part of paying the cost of a spell or ability, the second ability triggers and goes on the stack on top of it. This ability will resolve, causing you to return the card to the battlefield before the other spell or ability resolves.
• When the second ability resolves, you must return the card to the battlefield, even if you don't want to.
• If an opponent sacrifices an Aura, you'll choose what it enchants as you return it to the battlefield. No player can respond to the choice. Since an Aura doesn't target anything if it isn't cast as a spell, you can enchant a permanent with shroud this way.
• If the sacrificed permanent that caused the second ability to trigger somehow leaves the graveyard before the ability resolves (possibly because it was returned to the battlefield by the ability of another It That Betrays), the ability simply won't do anything when it resolves."
1x; Thousand-Year Elixir; Commander 2013 Edition; ; 3; 3; 1; 0; 0; R; 15.5311; Artifact; "You may activate abilities of creatures you control as though those creatures had haste.
{1}, {T}: Untap target creature."; "• Thousand-Year Elixir doesn't actually grant haste to creatures you control, nor does it let you attack with them as though they had haste."
1x; Elspeth, Sun's Champion; Duel Decks: Elspeth vs. Kiora; Foil; 6; 4WW; 1; 0; 0; M; 14.5055; Legendary Planeswalker - Elspeth; "+1: Create three 1/1 white Soldier creature tokens.
3: Destroy all creatures with power 4 or greater.
7: You get an emblem with "Creatures you control get +2/+2 and have flying.""; ""
1x; Freyalise, Llanowar's Fury; Commander 2014; ; 5; 3GG; 1; 0; 0; M; 13.32; Legendary Planeswalker - Freyalise; "+2: Create a 1/1 green Elf Druid creature token with "{T}: Add {G}."
2: Destroy target artifact or enchantment.
6: Draw a card for each green creature you control.
Freyalise, Llanowar's Fury can be your commander."; ""
1x; Jet Medallion; Commander 2014; ; 2; 2; 1; 0; 0; R; 12.1478; Artifact; "Black spells you cast cost {1} less to cast."; "• The generic X cost is still considered generic even if there is a requirement that a specific color be used for it. For example, only black mana can be spent this way. This distinction is important for effects which reduce the generic portion of a spell's cost.
• This can lower the cost to zero, but not below zero.
• The effect is cumulative.
• The lower cost is not optional like with some other cost reducers.
• Can never affect the colored part of the cost.
• If this card is sacrificed to pay part of a spell's cost, the cost reduction still applies."
1x; Bane of Progress; Commander 2013 Edition; ; 6; 4GG; 1; 2; 2; R; 11.1488; Creature - Elemental; "When Bane of Progress enters the battlefield, destroy all artifacts and enchantments. Put a +1/+1 counter on Bane of Progress for each permanent destroyed this way."; "• Bane of Progress's ability destroys all artifacts and enchantments, including those you control.
• If an artifact or enchantment isn't destroyed (perhaps because it has indestructible or it regenerated), it won't count toward the number of +1/+1 counters put on Bane of Progress. However, if an artifact or enchantment is destroyed but doesn't go to its owner's graveyard due to a replacement effect (like the one Rest in Peace creates), it will count."
1x; Hallowed Fountain; Return to Ravnica; ; 0; ; 1; 0; 0; R; 10.656; Land - Plains Island; "({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."; "• Unlike most dual lands, this land has two basic land types. It's not basic, so cards such as District Guide can't find it, but it does have the appropriate land types for effects such as that of Drowned Catacomb (from the Ixalan set).
• If an effect puts this land onto the battlefield tapped, you may pay 2 life, but it still enters tapped."
1x; Sarkhan Unbroken; Dragons of Tarkir; ; 5; 2GUR; 1; 0; 0; M; 10.4695; Legendary Planeswalker - Sarkhan; "+1: Draw a card, then add one mana of any color.
2: Create a 4/4 red Dragon creature token with flying.
8: Search your library for any number of Dragon creature cards and put them onto the battlefield. Then shuffle your library."; ""
1x; Eldrazi Temple; Duel Decks: Zendikar vs. Eldrazi; ; 0; ; 1; 0; 0; U; 10.4429; Land; "{T}: Add {C}.
{T}: Add {C}{C}. Spend this mana only to cast colorless Eldrazi spells or activate abilities of colorless Eldrazi."; "• The mana generated by the last ability can't be spent to activate abilities of Eldrazi sources that aren't on the battlefield."
1x; Homeward Path; Commander 2013 Edition; ; 0; ; 1; 0; 0; R; 10.1099; Land; "{T}: Add {C}.
{T}: Each player gains control of all creatures they own."; "• The owner of a card is the player who started the game with that card in their deck.
• The owner of a token is the player under whose control the token was put onto the battlefield."
1x; Wrath of God; Commander 2013 Edition; ; 4; 2WW; 1; 0; 0; R; 9.49716; Sorcery; "Destroy all creatures. They can't be regenerated."; ""
1x; Nahiri, the Lithomancer; Commander 2014; ; 5; 3WW; 1; 0; 0; M; 9.43056; Legendary Planeswalker - Nahiri; "+2: Create a 1/1 white Kor Soldier creature token. You may attach an Equipment you control to it.
2: You may put an Equipment card from your hand or graveyard onto the battlefield.
10: Create a colorless Equipment artifact token named Stoneforged Blade. It has indestructible, "Equipped creature gets +5/+5 and has double strike," and equip {0}.
Nahiri, the Lithomancer can be your commander."; ""
1x; Ob Nixilis of the Black Oath; Commander 2014; ; 5; 3BB; 1; 0; 0; M; 8.81784; Legendary Planeswalker - Nixilis; "+2: Each opponent loses 1 life. You gain life equal to the life lost this way.
2: Create a 5/5 black Demon creature token with flying. You lose 2 life.
8: You get an emblem with "{1}{B}, Sacrifice a creature: You gain X life and draw X cards, where X is the sacrificed creature's power."
Ob Nixilis of the Black Oath can be your commander."; ""
1x; Tempt with Discovery; Commander 2013 Edition; ; 4; 3G; 1; 0; 0; R; 8.77788; Sorcery; "Tempting offer - Search your library for a land card and put it onto the battlefield. Each opponent may search their library for a land card and put it onto the battlefield. For each opponent who searches a library this way, search your library for a land card and put it onto the battlefield. Then each player who searched a library this way shuffles it."; "• Your opponents decide in turn order whether or not they accept the offer, starting with the opponent on your left. Each opponent will know the decisions of previous opponents in turn order when making their decision.
• After each opponent has decided, the effect happens simultaneously for each one who accepted the offer. Then, the effect happens again for you a number of times equal to the number of opponents who accepted."
1x; Hallowed Spiritkeeper; Commander 2014; ; 3; 1WW; 1; 2; 3; R; 8.71128; Creature - Avatar; "Vigilance
When Hallowed Spiritkeeper dies, create X 1/1 white Spirit creature tokens with flying, where X is the number of creature cards in your graveyard."; "• Count the number of creature cards in your graveyard as the triggered ability resolves, including Hallowed Spiritkeeper itself if it's still there, to determine how many Spirits are created."
1x; Karametra, God of Harvests; Born of the Gods; ; 5; 3GW; 1; 7; 6; M; 8.37828; Legendary Enchantment Creature - God; "Indestructible
As long as your devotion to green and white is less than seven, Karametra isn't a creature.
Whenever you cast a creature spell, you may search your library for a Forest or Plains card, put it onto the battlefield tapped, then shuffle your library."; "• Numeric mana symbols ({0}, {1}, and so on) in mana costs of permanents you control don't count toward your devotion to any color.
• Mana symbols in the text boxes of permanents you control don't count toward your devotion to any color.
• Hybrid mana symbols, monocolored hybrid mana symbols, and Phyrexian mana symbols do count toward your devotion to their color(s).
• If an activated ability or triggered ability has an effect that depends on your devotion to a color, you count the number of mana symbols of that color among the mana costs of permanents you control as the ability resolves. The permanent with that ability will be counted if it's still on the battlefield at that time.
• The type-changing ability that can make the God not be a creature functions only on the battlefield. It's always a creature card in other zones, regardless of your devotion to its color.
• If a God enters the battlefield, your devotion to its color (including the mana symbols in the mana cost of the God itself) will determine if a creature entered the battlefield or not, for abilities that trigger whenever a creature enters the battlefield.
• If a God stops being a creature, it loses the type creature and all creature subtypes. It continues to be a legendary enchantment.
• The abilities of Gods function as long as they're on the battlefield, regardless of whether they're creatures.
• If a God is attacking or blocking and it stops being a creature, it will be removed from combat.
• If a God is dealt damage, then stops being a creature, then becomes a creature again later in the same turn, the damage will still be marked on it. This is also true for any effects that were affecting the God when it was originally a creature. (Note that in most cases, the damage marked on the God won't matter because it has indestructible.)
• If you cast a creature card with bestow for its bestow cost, it becomes an Aura spell and not a creature spell. Karametra's last ability won't trigger.
• You can use the last ability to put any land card with the subtype Forest or Plains onto the battlefield, not just ones named Forest or Plains."
1x; Ruby Medallion; Commander 2014; ; 2; 2; 1; 0; 0; R; 7.97868; Artifact; "Red spells you cast cost {1} less to cast."; "• The generic X cost is still considered generic even if there is a requirement that a specific color be used for it. For example, only black mana can be spent this way. This distinction is important for effects which reduce the generic portion of a spell's cost.
• This can lower the cost to zero, but not below zero.
• The effect is cumulative.
• The lower cost is not optional like with some other cost reducers.
• Can never affect the colored part of the cost.
• If this card is sacrificed to pay part of a spell's cost, the cost reduction still applies."
1x; Heliod, God of the Sun; Theros; ; 4; 3W; 1; 6; 5; M; 7.1928; Legendary Enchantment Creature - God; "Indestructible
As long as your devotion to white is less than five, Heliod isn't a creature. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
Other creatures you control have vigilance.
{2}{W}{W}: Create a 2/1 white Cleric enchantment creature token."; "• Numeric mana symbols ({0}, {1}, and so on) in mana costs of permanents you control don't count toward your devotion to any color.
• Mana symbols in the text boxes of permanents you control don't count toward your devotion to any color.
• Hybrid mana symbols, monocolored hybrid mana symbols, and Phyrexian mana symbols do count toward your devotion to their color(s).
• If an activated ability or triggered ability has an effect that depends on your devotion to a color, you count the number of mana symbols of that color among the mana costs of permanents you control as the ability resolves. The permanent with that ability will be counted if it's still on the battlefield at that time.
• The type-changing ability that can make the God not be a creature functions only on the battlefield. It's always a creature card in other zones, regardless of your devotion to its color.
• If a God enters the battlefield, your devotion to its color (including the mana symbols in the mana cost of the God itself) will determine if a creature entered the battlefield or not, for abilities that trigger whenever a creature enters the battlefield.
• If a God stops being a creature, it loses the type creature and all creature subtypes. It continues to be a legendary enchantment.
• The abilities of Gods function as long as they're on the battlefield, regardless of whether they're creatures.
• If a God is attacking or blocking and it stops being a creature, it will be removed from combat.
• If a God is dealt damage, then stops being a creature, then becomes a creature again later in the same turn, the damage will still be marked on it. This is also true for any effects that were affecting the God when it was originally a creature. (Note that in most cases, the damage marked on the God won't matter because it has indestructible.)"
