Quote Date,WO#,Quote#,Price,Model No,Width,Spread
2021-06-15,10015206,26338,42591,Pony 3X17,102,49
2021-06-15,10015207,26339,42591,Pony 3X17,102,49
2021-06-09,10015208,26329,20248.7634,CD1X,102,9
2021-05-31,10015115,26311,20248.7634,CD1X,102,9
2021-05-18,10015136,26290,29366.5216,53VT2V DCI,96,49
2021-05-18,10015137,26291,29366.5216,53VT2V DCI,96,49
2021-05-18,10015138,26292,29366.5216,53VT2V DCI,96,49
2021-05-07,10015192,26223,21017.6512,20ANR,102,49
2021-05-07,10015038,26224,30588.7296,25ANR,102,61
2021-05-07,10015193,26249,21017.6512,20ANR,102,49
2021-05-07,10015194,26250,21017.6512,20ANR,102,49
2021-05-07,10015195,26251,21017.6512,20ANR,102,49
2021-05-07,10015197,26252,26124.494,30ANR,102,49
2021-05-07,10015198,26253,26124.494,30ANR,102,49
2021-05-07,10015199,26254,26124.494,30ANR,102,49
2021-05-06,10015113,26217,40421.15,Pony 3X17,102,49
2021-05-06,10015114,26218,40421.15,Pony 3X17,102,49
2021-05-05,10015155,26201,19362.8032,20NTT,102,49
2021-05-05,10015191,26202,19362.8032,20NTT,102,49
2021-05-05,10015153,26203,19362.8032,20NTT,102,49
2021-05-05,10015162,26207,51599.9952,Frameless Alum. U Body 2X,102,122
2021-05-05,10015143,26212,34251.0272,30ART,102,61
2021-05-05,10015200,26213,31180.8479,30ANR,102,61
2021-05-05,10015189,26215,23547.5136,20NTT,102,49
2021-05-05,10015203,26216,34251.0272,30ART,102,61
2021-05-05,10015154,26225,19362.8032,20NTT,102,49
2021-05-05,10015190,26230,23547.5136,20NTT,102,49
2021-05-05,10015201,26237,31180.8479,30ANR,102,61
2021-05-05,10015202,26238,31180.8479,30ANR,102,61
2021-05-05,10015144,26239,34251.0272,30ART,102,61
2021-05-05,10015145,26240,34251.0272,30ART,102,61
2021-05-05,10015146,26241,34251.0272,30ART,102,61
2021-05-05,10015204,26242,34251.0272,30ART,102,61
2021-05-04,10015043,26200,26124.494,30ANR,102,49
2021-05-03,10015093,26193,31180.8479,30ANR,102,49
2021-05-03,10015110,26194,62096.1618,53ET3XP,102,61
2021-05-03,10015094,26199,31180.8479,30ANR,102,49
2021-04-30,10015042,26192,22642,20NTT,102,49
2021-04-29,10015160,26184,33788.1024,25ART,102,49
2021-04-29,10015158,26185,30588.7296,25ANR,102,49
2021-04-29,10015156,26186,73854.6332,37DT3X,102,72
2021-04-29,10015081,26187,56703.0453,27DT2X V2018,102,49
2021-04-29,10015082,26243,56703.0453,27DT2X V2018,102,49
2021-04-29,10015157,26244,73854.6332,37DT3X,102,72
2021-04-29,10015159,26245,30588.7296,25ANR,102,49
2021-04-29,10015161,26246,33788.1024,25ART,102,49
2021-04-28,10015150,26149,31180.8479,30ANR,102,49
2021-04-28,10015148,26150,31180.8479,30ANR,102,49
2021-04-28,10015139,26151,34251.0272,30ART,102,49
2021-04-28,10015140,26152,34251.0272,30ART,102,49
2021-04-28,10015118,26153,23816.832,20ART,102,49
2021-04-28,10015116,26154,23816.832,20ART,102,49
2021-04-28,10015117,26156,23816.832,20ART,102,49
2021-04-28,10015119,26157,23816.832,20ART,102,49
2021-04-28,10015120,26158,23816.832,20ART,102,49
2021-04-28,10015121,26159,23816.832,20ART,102,49
2021-04-28,10015141,26180,34251.0272,30ART,102,49
2021-04-28,10015142,26181,34251.0272,30ART,102,49
2021-04-28,10015147,26182,31180.8479,30ANR,102,49
2021-04-28,10015149,26183,31180.8479,30ANR,102,49
2021-04-26,10015130,25839,44792,42ET3X,118,49
2021-04-26,10015131,25840,44792,42ET3X,118,49
2021-04-26,10015175,25861,30589,25ANR,114,49
2021-04-26,10015178,25862,30589,25ANR,114,49
2021-04-26,10015181,25932,33788,25ART,114,49
2021-04-26,10015184,25933,33788,25ART,114,49
