Name% Location% Arena%
Atlanta Braves%	Cumberland, Georgia%	Truist Park%
Miami Marlins%	Miami, Florida%	Marlins Park%
New York Mets%	New York City (Queens)%	Citi Field%
Philadelphia Phillies%	Philadelphia, Pennsylvania%	Citizens Bank Park%
Washington Nationals%	Washington, D.C.%	Nationals Park%
Chicago Cubs%	Chicago, Illinois (North Side)%	Wrigley Field%
Cincinnati Reds%	Cincinnati, Ohio%	Great American Ball Park%
Milwaukee Brewers%	Milwaukee, Wisconsin%	Miller Park%
Pittsburgh Pirates%	Pittsburgh, Pennsylvania%	PNC Park%
St. Louis Cardinals%	St. Louis, Missouri%	Busch Stadium%
Arizona Diamondbacks%	Phoenix, Arizona%	Chase Field%
Colorado Rockies%	Denver, Colorado%	Coors Field%
Los Angeles Dodgers%	Los Angeles, California%	Dodger Stadium%
San Diego Padres%	San Diego, California%	Petco Park%
San Francisco Giants%	San Francisco, California%	Oracle Park%
Baltimore Orioles%	Baltimore, Maryland%	Oriole Park at Camden Yards%
Boston Red Sox%	Boston, Massachusetts%	Fenway Park%
New York Yankees%	New York City (The Bronx)%	Yankee Stadium%
Tampa Bay Rays%	St. Petersburg, Florida%	Tropicana Field%
Toronto Blue Jays%	Toronto, Ontario%	Rogers Centre%
Chicago White Sox%	Chicago, Illinois% (South Side)	Guaranteed Rate Field%
Cleveland Indians%	Cleveland, Ohio%	Progressive Field%
Detroit Tigers%	Detroit, Michigan%	Comerica Park%
Kansas City Royals%	Kansas City, Missouri%	Kauffman Stadium%
Minnesota Twins%	Minneapolis, Minnesota%	Target Field%
Houston Astros%	Houston, Texas%	Minute Maid Park%
Los Angeles Angels%	Anaheim, California%	Angel Stadium%
Oakland Athletics%	Oakland, California%	Oakland Coliseum%
Seattle Mariners%	Seattle, Washington%	T-Mobile Park%
Texas Rangers%	Arlington, Texas%	Globe Life Field[a]%
Buffalo Bisons%	Buffalo, New York%	Sahlen Field%
Lehigh Valley IronPigs%	Allentown, Pennsylvania%	Coca-Cola Park%
Pawtucket Red Sox[a]%	Pawtucket, Rhode Island%	McCoy Stadium%
Rochester Red Wings%	Rochester, New York	Frontier %Field%
Scranton/Wilkes-Barre RailRiders%	Moosic, Pennsylvania%	PNC Field%
Syracuse Mets%	Syracuse, New York%	NBT Bank Stadium%
Charlotte Knights%	Charlotte, North Carolina%	Truist Field%
Durham Bulls%	Durham, North Carolina%	Durham Bulls Athletic Park%
Gwinnett Stripers%	Lawrenceville, Georgia%	Coolray Field%
Norfolk Tides%	Norfolk, Virginia%	Harbor Park%
Columbus Clippers%	Columbus, Ohio%	Huntington Park%
Indianapolis Indians%	Indianapolis, Indiana%	Victory Field%
Louisville Bats%	Louisville, Kentucky%	Louisville Slugger Field%
Toledo Mud Hens%	Toledo, Ohio%	Fifth Third Field%
Memphis Redbirds%	Memphis, Tennessee%	AutoZone Park%
Nashville Sounds%	Nashville, Tennessee%	First Horizon Park%
Omaha Storm Chasers%	Papillion, Nebraska%	Werner Park%
Oklahoma City Dodgers%	Oklahoma City, Oklahoma%	Chickasaw Bricktown Ballpark%
Round Rock Express%	Round Rock, Texas%	Dell Diamond%
San Antonio Missions%	San Antonio, Texas%	Nelson W. Wolff Municipal Stadium%
Wichita Wind Surge%	Wichita, Kansas[a]%	Riverfront Stadium%
Fresno Grizzlies%	Fresno, California%	Chukchansi Park%
Reno Aces%	Reno, Nevada%	Greater Nevada Field%
Sacramento River Cats%	West Sacramento, California%	Raley Field%
Tacoma Rainiers%	Tacoma, Washington%	Cheney Stadium%
