Transaction Date, Transaction Amount, Notes, Transaction Type, Entity
10/12/2021,-250.00,-,"WITHDRAWAL","FREE INTERAC E-TRANSFER        "
10/12/2021,-57.17,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
10/12/2021,-200.00,-,"POS Purchase","FPOS CNB #016            FREDERICTONNBCA"
10/12/2021,-8.33,-,"POS Purchase","FPOS MCDONALD'S #5483    FREDERICTONNBCA"
10/9/2021,-8.05,-,"POS Purchase","DELTA FREDERICTON        FREDERICTONNBCD"
10/9/2021,-15.87,-,"POS Purchase","DELTA FREDERICTON        FREDERICTONNBCD"
10/8/2021,-215.00,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
10/8/2021,215.00,-,"Correction","OPOS AMAZON.COM   PMTS - WWW.AMAZON.ONCA"
10/8/2021,-28.98,-,"POS Purchase","OPOS Amazon.ca           Seattle    WAUS"
10/8/2021,-215.00,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
10/8/2021,-50.00,-,"ABM Withdrawal","        "
10/8/2021,-46.90,-,"POS Purchase","WALMART STORE #3032      FREDERICTONNBCA"
10/8/2021,-57.18,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
10/7/2021,-12.33,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
10/7/2021,-32.55,-,"POS Purchase","OPOS Amazon.ca           AMAZON.CA  ONCA"
10/7/2021,-97.01,-,"POS Purchase","OPOS Amazon.ca           Seattle    WAUS"
10/7/2021,613.19,-,"Payroll Deposit","BWS MANUFACTURING LTD        "
10/5/2021,149.75,-,"Provincial Payment","CANADA        "
10/1/2021,-530.01,-,"Miscellaneous Payment","NSLSC        "
10/1/2021,-55.49,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
10/1/2021,-77.89,-,"POS Purchase","OPOS AMZN Mktp CA*2C0MB40WWW.AMAZON.ONCA"
10/1/2021,93.13,-,"Correction","OPOS AMZN Mktp CA*2C0MB40WWW.AMAZON.ONCA"
10/1/2021,-88.25,-,"POS Purchase","OPOS GASPARD             WINNIPEG   MBCA"
9/29/2021,-16.95,-,"Service Charge","MONTHLY FEES        "
9/29/2021,-93.13,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
9/29/2021,-27.55,-,"POS Purchase","HANWELL ROAD IRVING      HANWELL    NBCA"
9/29/2021,-73.57,-,"POS Purchase","FPOS CANADIAN TIRE #0035 FREDERICTONNBCA"
9/29/2021,-200.00,-,"POS Purchase","CNB #016                 FREDERICTONNBCA"
9/29/2021,-252.99,-,"POS Purchase","MOORES CLOTHING 0078MEN  FREDERICTONNBCD"
9/29/2021,-3.16,-,"POS Purchase","FPOS TIM HORTONS #2598   WOODSTOCK  NBCD"
9/29/2021,632.34,-,"Payroll Deposit","BWS MANUFACTURING LTD        "
9/28/2021,-30.13,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
9/28/2021,-60.18,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
9/28/2021,-43.98,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
9/28/2021,-286.84,-,"POS Purchase","OPOS MARKS.COM/LEQUIPEUR.8668071903 ABCA"
9/27/2021,-511.88,-,"POS Purchase","KEITH'S SERVICE CENTRE   BATH      NBCD"
9/24/2021,-6.68,-,"Miscellaneous Payment","PAYPAL        "
9/24/2021,-83.36,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
9/23/2021,606.77,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
9/17/2021,500.00,-,"DEPOSIT                ","FREE INTERAC E-TRANSFER"
9/17/2021,-108.05,-,"POS Purchase           ","CNB #018                 PERTH"
9/17/2021,-84.43,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
9/16/2021,-10.40,-,"Miscellaneous Payment  ","PAYPAL                       "
9/16/2021,606.77,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
9/10/2021,-62.90,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
9/9/2021,-200.05,-,"POS Purchase           ","CNB #018                 PERTH"
9/9/2021,612.55,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
9/7/2021,-34.90,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
9/7/2021,-11.93,-,"POS Purchase           ","FPOS MCDONALD'S #17867   WOODS"
9/7/2021,-11.79,-,"POS Purchase           ","LAKEWAY CAFE RESTAURAN   MEDUC"
9/7/2021,-30.00,-,"POS Purchase           ","FPOS WOODSTOCK GOLF AND  WOODS"
9/4/2021,-55.41,-,"POS Purchase           ","THE RIVER RESTAURANT     WOODS"
9/4/2021,-12.36,-,"POS Purchase           ","FPOS WALMART STORE #1043 WOODS"
9/4/2021,-21.85,-,"POS Purchase           ","FPOS SQ *COVERED BRIDGE RSimon"
9/4/2021,-57.50,-,"POS Purchase           ","FPOS COVERED BRIDGE GOLF HARTL"
9/3/2021,-83.74,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
9/3/2021,-3.42,-,"POS Purchase           ","OPOS Amazon.ca           AMAZO"
9/3/2021,-52.30,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
9/2/2021,612.55,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
9/1/2021,-162.00,-,"POS Purchase           ","OPOS SERVICE NB - ONLINE FREDE"
8/31/2021,-609.77,-,"Miscellaneous Payment  ","NSLSC                        "
8/31/2021,-16.95,-,"Service Charge         ","MONTHLY FEES"
8/26/2021,-27.01,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
8/26/2021,612.55,-,"Payroll Deposit","BWS MANUFACTURING LTD        "
8/25/2021,-28.74,-,"Miscellaneous Payment","PAYPAL        "
8/25/2021,-37.94,-,"POS Purchase","FPOS PIZZA TWICE         FLORENCEVILNBCD"
8/24/2021,-6.74,-,"Miscellaneous Payment","PAYPAL        "
8/24/2021,-2.29,-,"Miscellaneous Payment","PAYPAL        "
8/24/2021,-31.23,-,"Miscellaneous Payment","PAYPAL        "
8/24/2021,-7.23,-,"Miscellaneous Payment","PAYPAL        "
8/23/2021,-43.46,-,"Miscellaneous Payment","PAYPAL        "
8/23/2021,-56.25,-,"POS Purchase","MURRAY'S IRVING          BEARDSLEY  NBCA"
8/23/2021,-5.36,-,"POS Purchase","FPOS PETRO-CANADA        LAKEGEORG NBCA"
8/23/2021,-14.34,-,"POS Purchase","FPOS WENDY'S RESTAURANT QFREDERICTONNBCA"
8/23/2021,-6.89,-,"POS Purchase","FPOS TIM HORTONS #0276   FREDERICTONNBCD"
8/20/2021,-11.50,-,"POS Purchase","FPOS DAIRY QUEEN #12079  FREDERICTONNBCA"
8/20/2021,-4.41,-,"POS Purchase","FPOS TIM HORTONS #2598   WOODSTOCK  NBCD"
8/20/2021,-55.41,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
8/19/2021,612.55,-,"Payroll Deposit","BWS MANUFACTURING LTD        "
8/16/2021,-24.99,-,"POS Purchase","OPOS AMZN Mktp CA*2D8FE0OWWW.AMAZON.ONCA"
8/16/2021,57.48,-,"Correction","OPOS AMZN Mktp CA*2D8FE0OWWW.AMAZON.ONCA"
8/16/2021,-68.98,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
8/16/2021,-26.68,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
8/16/2021,-24.99,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
