Name,slot1,slot2,slot3,slot4,slot5,slot6,rank,
Donkey Kong,+5,0,0,0,10,10,S,
Bowser,-3,-3,1,8,9,10,S,
Boo,-2,-2,5,5,7,7,S,
Wario,6,6,6,6,-2,-2,S,
Peach,0,2,4,4,4,6,A,
Daisy,3,3,3,3,4,4,A,
Dry Bones,1,1,1,6,6,6,A,
Pom Pom,0,3,3,3,3,8,A,
Mario,1,3,3,3,5,6,B,
Luigi,1,1,1,5,6,7,B,
Waluigi,-3,1,3,5,5,7,B,
Goomba,+2,+2,3,4,5,6,B,
Bowser Jr.,1,1,1,4,4,9,B,
Rosalina,+2,+2,2,3,4,8,C,
Diddy Kong,	0,0,0,7,7,7,C,
Monty Mole,+1,2,3,4,5,6,D,
Shy Guy,0,4,4,4,4,4,D,
Yoshi,0,1,3,3,5,7,F,
Hammer Bro,+3,1,1,5,5,5,F,
Koopa,1,1,2,3,3,10,F,
Normal,1,2,3,4,5,6,B
