team_1,team_2,location,result,date,team_1_score,team_2_score
San Jose Sharks,Anaheim Ducks,home,L,2018-10-03,2,5
Toronto Maple Leafs,Montreal Canadiens,home,W,2018-10-03,3,2
Vancouver Canucks,Calgary Flames,home,W,2018-10-03,5,2
Washington Capitals,Boston Bruins,home,W,2018-10-03,7,0
Buffalo Sabres,Boston Bruins,home,L,2018-10-04,0,4
Carolina Hurricanes,New York Islanders,home,L,2018-10-04,1,2
Colorado Avalanche,Minnesota Wild,home,W,2018-10-04,4,1
Dallas Stars,Arizona Coyotes,home,W,2018-10-04,3,0
Detroit Red Wings,Columbus Blue Jackets,home,L,2018-10-04,2,3
New York Rangers,Nashville Predators,home,L,2018-10-04,2,3
Ottawa Senators,Chicago Blackhawks,home,L,2018-10-04,3,4
Pittsburgh Penguins,Washington Capitals,home,W,2018-10-04,7,6
St Louis Blues,Winnipeg Jets,home,L,2018-10-04,1,5
Vegas Golden Knights,Philadelphia Flyers,home,L,2018-10-04,2,5
Columbus Blue Jackets,Carolina Hurricanes,home,L,2018-10-05,1,3
Los Angeles Kings,San Jose Sharks,home,L,2018-10-05,2,3
Arizona Coyotes,Anaheim Ducks,home,L,2018-10-06,0,1
Buffalo Sabres,New York Rangers,home,W,2018-10-06,3,1
Calgary Flames,Vancouver Canucks,home,W,2018-10-06,7,4
Colorado Avalanche,Philadelphia Flyers,home,W,2018-10-06,5,2
Dallas Stars,Winnipeg Jets,home,W,2018-10-06,5,1
Minnesota Wild,Vegas Golden Knights,home,L,2018-10-06,1,2
New Jersey Devils,Edmonton Oilers,home,W,2018-10-06,5,2
New York Islanders,Nashville Predators,home,L,2018-10-06,3,4
Pittsburgh Penguins,Montreal Canadiens,home,L,2018-10-06,1,5
St Louis Blues,Chicago Blackhawks,home,L,2018-10-06,4,5
Tampa Bay Lightning,Florida Panthers,home,W,2018-10-06,2,1
Toronto Maple Leafs,Ottawa Senators,home,L,2018-10-06,3,5
Carolina Hurricanes,New York Rangers,home,W,2018-10-07,8,5
Chicago Blackhawks,Toronto Maple Leafs,home,L,2018-10-07,6,7
Los Angeles Kings,Detroit Red Wings,home,W,2018-10-07,4,2
Anaheim Ducks,Detroit Red Wings,home,W,2018-10-08,3,2
Boston Bruins,Ottawa Senators,home,W,2018-10-08,6,3
Buffalo Sabres,Vegas Golden Knights,home,W,2018-10-08,4,2
New York Islanders,San Jose Sharks,home,W,2018-10-08,4,0
Carolina Hurricanes,Vancouver Canucks,home,W,2018-10-09,5,3
Columbus Blue Jackets,Colorado Avalanche,home,W,2018-10-09,5,2
Dallas Stars,Toronto Maple Leafs,home,L,2018-10-09,4,7
Nashville Predators,Calgary Flames,home,L,2018-10-09,0,3
Philadelphia Flyers,San Jose Sharks,home,L,2018-10-09,2,8
Winnipeg Jets,Los Angeles Kings,home,W,2018-10-09,2,1
Anaheim Ducks,Arizona Coyotes,home,L,2018-10-10,2,3
Ottawa Senators,Philadelphia Flyers,home,L,2018-10-10,4,7
Washington Capitals,Vegas Golden Knights,home,W,2018-10-10,5,2
Boston Bruins,Edmonton Oilers,home,W,2018-10-11,4,1
Buffalo Sabres,Colorado Avalanche,home,L,2018-10-11,1,6
Detroit Red Wings,Toronto Maple Leafs,home,L,2018-10-11,3,5
Florida Panthers,Columbus Blue Jackets,home,L,2018-10-11,4,5
Minnesota Wild,Chicago Blackhawks,home,W,2018-10-11,4,3
Montreal Canadiens,Los Angeles Kings,home,L,2018-10-11,0,3
New Jersey Devils,Washington Capitals,home,W,2018-10-11,6,0
Nashville Predators,Winnipeg Jets,home,W,2018-10-11,3,0
New York Rangers,San Jose Sharks,home,W,2018-10-11,3,2
Pittsburgh Penguins,Vegas Golden Knights,home,W,2018-10-11,4,2
St Louis Blues,Calgary Flames,home,W,2018-10-11,5,3
Tampa Bay Lightning,Vancouver Canucks,home,L,2018-10-11,1,4
Arizona Coyotes,Buffalo Sabres,home,L,2018-10-13,0,3
Boston Bruins,Detroit Red Wings,home,W,2018-10-13,8,2
Chicago Blackhawks,St Louis Blues,home,W,2018-10-13,4,3
Colorado Avalanche,Calgary Flames,home,L,2018-10-13,2,3
Dallas Stars,Anaheim Ducks,home,W,2018-10-13,5,3
Florida Panthers,Vancouver Canucks,home,L,2018-10-13,2,3
Minnesota Wild,Carolina Hurricanes,home,L,2018-10-13,4,5
Montreal Canadiens,Pittsburgh Penguins,home,W,2018-10-13,4,3
Nashville Predators,New York Islanders,home,W,2018-10-13,5,2
New York Rangers,Edmonton Oilers,home,L,2018-10-13,1,2
Ottawa Senators,Los Angeles Kings,home,W,2018-10-13,5,1
Philadelphia Flyers,Vegas Golden Knights,home,L,2018-10-13,0,1
Tampa Bay Lightning,Columbus Blue Jackets,home,W,2018-10-13,8,2
Washington Capitals,Toronto Maple Leafs,home,L,2018-10-13,2,4
New Jersey Devils,San Jose Sharks,home,W,2018-10-14,3,2
St Louis Blues,Anaheim Ducks,home,L,2018-10-14,2,3
Winnipeg Jets,Carolina Hurricanes,home,W,2018-10-14,3,1
Montreal Canadiens,Detroit Red Wings,home,W,2018-10-15,7,3
Nashville Predators,Minnesota Wild,home,W,2018-10-15,4,2
Ottawa Senators,Dallas Stars,home,W,2018-10-15,4,1
Toronto Maple Leafs,Los Angeles Kings,home,W,2018-10-15,4,1
Minnesota Wild,Arizona Coyotes,home,W,2018-10-16,2,1
New Jersey Devils,Dallas Stars,home,W,2018-10-16,3,0
New York Rangers,Colorado Avalanche,home,W,2018-10-16,3,2
Philadelphia Flyers,Florida Panthers,home,W,2018-10-16,6,5
Pittsburgh Penguins,Vancouver Canucks,home,L,2018-10-16,2,3
Tampa Bay Lightning,Carolina Hurricanes,home,W,2018-10-16,4,2
Vegas Golden Knights,Buffalo Sabres,home,W,2018-10-16,4,1
Winnipeg Jets,Edmonton Oilers,home,L,2018-10-16,4,5
Anaheim Ducks,New York Islanders,home,W,2018-10-17,4,1
Calgary Flames,Boston Bruins,home,W,2018-10-17,5,2
Montreal Canadiens,St Louis Blues,home,W,2018-10-17,3,2
Washington Capitals,New York Rangers,home,W,2018-10-17,4,3
Columbus Blue Jackets,Philadelphia Flyers,home,W,2018-10-18,6,3
Chicago Blackhawks,Arizona Coyotes,home,L,2018-10-18,1,4
Edmonton Oilers,Boston Bruins,home,W,2018-10-18,3,2
Los Angeles Kings,New York Islanders,home,L,2018-10-18,2,7
New Jersey Devils,Colorado Avalanche,home,L,2018-10-18,3,5
San Jose Sharks,Buffalo Sabres,home,W,2018-10-18,5,1
