TransactionID,Transaction Date,Transaction Amount,Notes,Transaction Type,Entity,TransactionTypeID
1,2016-10-01,-30.33,-,POS Purchase           ,GRECO PIZZA              FREDE,27
2,2016-10-04,-280,5,Cheque                 ,NULL,21
3,2016-10-04,-5.68,-,POS Purchase           ,BURGER KING #3422        DARTM,27
4,2016-10-05,219,-,Provincial Payment     ,CANADA                       ,18
5,2016-10-06,-6.66,-,POS Purchase           ,BURGER KING #3422        DARTM,27
6,2016-10-06,-47.1,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
7,2016-10-07,592.57,-,Payroll Deposit        ,BKR Management Inc.          ,17
8,2016-10-11,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
9,2016-10-11,-30.2,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
10,2016-10-12,-5.45,-,POS Purchase           ,BURGER KING #3422        DARTM,27
11,2016-10-12,-11.49,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
12,2016-10-14,-6.82,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
13,2016-10-15,-33.32,-,POS Purchase           ,KINGSWOOD                FREDE,NULL
14,2016-10-15,-29.49,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
15,2016-10-15,-26.44,-,POS Purchase           ,KINGSWOOD                FREDE,NULL
16,2016-10-17,-64,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
17,2016-10-17,-7.96,-,POS Purchase           ,BURGER KING #3422        DARTM,27
18,2016-10-17,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
19,2016-10-18,-130.74,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
20,2016-10-18,-25.85,-,POS Purchase           ,SPENCER GIFTS #3075      FREDE,NULL
21,2016-10-19,-23.57,-,POS Purchase           ,JUNGLE JIM'S EATERY -    FREDE,27
22,2016-10-21,566.53,-,Payroll Deposit        ,BKR Management Inc.          ,17
23,2016-10-22,-29.14,-,POS Purchase           ,ALCOOL NB LIQUOR  #045   FREDE,23
24,2016-10-22,-12.06,-,POS Purchase           ,HARVEY'S 2282            FREDE,27
25,2016-10-24,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
26,2016-10-25,-43.34,-,POS Purchase           ,SOBEYS #849        QPS   FREDE,8
27,2016-10-27,-40.3,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
28,2016-10-28,-4.35,-,POS Purchase           ,TIM HORTONS #2598        WOODS,27
29,2016-10-31,-25.83,-,POS Purchase           ,DELUXE FRENCH FRIES      FREDE,27
30,2016-11-01,-100,-,ABM Withdrawal,NULL,NULL
31,2016-11-02,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
32,2016-11-02,-13.79,-,POS Purchase           ,WENDY'S RESTAURANT Q1R   FREDE,27
33,2016-11-02,-31.25,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
34,2016-11-02,-280,6,Cheque                 ,NULL,21
35,2016-11-03,-5,-,POS Purchase           ,BURGER KING #3422        DARTM,27
36,2016-11-04,447.24,-,Payroll Deposit        ,BKR Management Inc.          ,17
37,2016-11-04,-7.34,-,POS Purchase           ,MCDONALD'S #1808         FREDE,27
38,2016-11-04,-29.29,-,POS Purchase           ,HANWELL ROAD IRVING #1   HANWE,5
39,2016-11-05,-41.81,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
40,2016-11-07,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
41,2016-11-08,-199,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
42,2016-11-08,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
43,2016-11-10,-6.14,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
44,2016-11-10,-26,-,POS Purchase           ,HANWELL ROAD IRVING #1   HANWE,5
45,2016-11-10,-10.93,-,POS Purchase           ,A&W #7111                FREDE,27
46,2016-11-10,-111.47,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
47,2016-11-14,-6.96,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
48,2016-11-14,-9.99,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
49,2016-11-16,-6.14,-,POS Purchase           ,BURGER KING #3422        DARTM,27
50,2016-11-17,60,-,DEPOSIT                ,PC-EMAIL MONEY TRF,NULL
51,2016-11-17,-41.02,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
52,2016-11-18,553.25,-,Payroll Deposit        ,BKR Management Inc.          ,17
53,2016-11-18,-24.99,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
54,2016-11-21,-4.65,-,POS Purchase           ,BURGER KING #3422        DARTM,27
55,2016-11-21,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
56,2016-11-22,-3.77,-,POS Purchase           ,BURGER KING #3422        DARTM,27
57,2016-11-23,-7.39,-,POS Purchase           ,BURGER KING #3422        DARTM,27
58,2016-11-24,-7.41,-,POS Purchase           ,BURGER KING #3422        DARTM,27
59,2016-11-25,-29.49,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
60,2016-11-25,-98.8,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
61,2016-11-25,-5.61,-,POS Purchase           ,MRS FIELDS/PRETZLERMAK   FREDE,27
62,2016-11-26,-7.8,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
63,2016-11-26,-9.88,-,POS Purchase           ,PITA PIT - 176 (CA100)   FREDE,27
64,2016-11-28,-100,-,ABM Withdrawal,NULL,NULL
65,2016-11-30,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
66,2016-11-30,-42,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
67,2016-11-30,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
68,2016-12-02,522.54,-,Payroll Deposit        ,BKR Management Inc.          ,17
69,2016-12-05,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
70,2016-12-05,-22.4,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
71,2016-12-06,-5.85,-,POS Purchase           ,BURGER KING #3422        DARTM,27
72,2016-12-07,-4.01,-,POS Purchase           ,BURGER KING #3422        DARTM,27
73,2016-12-10,-60,-,ABM Withdrawal,NULL,NULL
74,2016-12-10,-5.26,-,POS Purchase           ,MCDONALD'S #5483         FREDE,27
75,2016-12-10,-40,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
76,2016-12-12,-6.9,-,POS Purchase           ,BURGER KING #3422        DARTM,27
77,2016-12-12,-9.99,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
78,2016-12-13,-280,7,Cheque                 ,NULL,21
79,2016-12-14,-6.76,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
80,2016-12-15,-5.91,-,POS Purchase           ,BURGER KING #3422        DARTM,27
81,2016-12-16,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
82,2016-12-16,476.53,-,Payroll Deposit        ,BKR Management Inc.          ,17
83,2016-12-16,-50,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
84,2016-12-19,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
85,2016-12-19,-70.99,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
86,2016-12-20,150,-,DEPOSIT                ,MB-EMAIL MONEY TRF,NULL
87,2016-12-22,-11.48,-,POS Purchase           ,CINEPLEX #6111           FREDE,NULL
88,2016-12-22,-30.02,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
89,2016-12-22,-164.71,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
90,2016-12-22,-12.36,-,POS Purchase           ,A&W #7218                FREDE,27
91,2016-12-28,-4.57,-,POS Purchase           ,GIANT TIGER #175         FREDE,NULL
92,2016-12-28,-5.73,-,POS Purchase           ,BURGER KING #3422        DARTM,27
93,2016-12-28,-86.01,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
94,2016-12-28,-17.24,-,POS Purchase           ,CANADIAN TIRE #0035      FREDE,NULL
95,2016-12-28,14.92,-,POS Return             ,WAL-MART #3032           FREDE,NULL
96,2016-12-29,-5.85,-,POS Purchase           ,BURGER KING #3422        DARTM,27
97,2016-12-30,454.88,-,Payroll Deposit        ,BKR Management Inc.          ,17
98,2016-12-30,-120,-,ABM Withdrawal,NULL,NULL
99,2016-12-30,-200,-,ABM Withdrawal,NULL,NULL
100,2016-12-30,-38.77,-,POS Purchase           ,ALCOOL NB LIQUOR  #040   FREDE,23
101,2016-12-30,666,-,ABM Deposit,NULL,NULL
102,2016-12-31,-12.95,-,Service Charge         ,MONTHLY FEES,9
103,2017-01-03,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
104,2017-01-03,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
105,2017-01-03,-72.38,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
106,2017-01-03,-3.94,-,POS Purchase           ,BURGER KING #3422        DARTM,27
107,2017-01-04,-280,8,Cheque                 ,NULL,21
108,2017-01-05,144,-,Provincial Payment     ,CANADA                       ,18
109,2017-01-07,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
110,2017-01-07,-64,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
111,2017-01-07,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
112,2017-01-07,-43.2,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
113,2017-01-09,-6.9,-,POS Purchase           ,BURGER KING #3422        DARTM,27
114,2017-01-10,-105.48,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
115,2017-01-11,-160,-,ABM Withdrawal,NULL,NULL
