Transaction Date,Transaction Amount,Notes,Transaction Type,Entity,
9/29/2018,-83.75,-,POS Purchase,Wal-Mart #3032 Frederictonnbca,NULL
10/1/2018,-362.5,-,Rent/Lease,Skyfall,NULL
10/2/2018,-35.37,-,POS Purchase,Fpos Sobeys #535 Qfrederictonnbcd,NULL
10/3/2018,-11.36,-,POS Purchase,Fpos Mary Brown'S 3500 Frederictonnbcd,NULL
10/3/2018,175,-,DEPOSIT        ,DEPOSIT        ,NULL
10/5/2018,161.9,-,Provincial Payment ,Canada,NULL
10/5/2018,-81.16,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
10/5/2018,-25.27,-,POS Purchase,Wal-Mart #1043 Woodstock NBCA,NULL
10/10/2018,-4.99,-,POS Purchase,Opos Spotify P07CA7B561 Stockholm SE,NULL
10/11/2018,-12.98,-,POS Purchase,Fpos Wendy'S Restaurant Qfrederictonnbca,NULL
10/12/2018,-13.25,-,POS Purchase,Opos Cineplex #8030 Web Qtoronto ONCA,NULL
10/15/2018,-6.74,-,Miscellaneous Payment,Paypal,NULL
10/16/2018,-40.19,-,POS Purchase,Ringo'S Bar & Grill Frederictonnbca,NULL
10/16/2018,-47.7,-,POS Purchase,Fpos Sobeys #535 Qfrederictonnbcd,NULL
10/16/2018,-41.79,-,Miscellaneous Payment,EnergieNB Power,NULL
10/20/2018,-11.43,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
10/20/2018,-60.01,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
10/23/2018,-32.43,-,POS Purchase,Sobeys #535 Qps Frederictonnbcd,NULL
10/24/2018,-150.05,-,POS Purchase,Opos Bell Aliant Online #Saint John NBCA,NULL
10/24/2018,-20.4,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
10/26/2018,-28.49,-,POS Purchase,Montana'S Cookhouse #3043Frederictonnbcd,NULL
10/26/2018,-5.74,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
10/27/2018,-37.59,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
10/27/2018,-23.99,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
10/29/2018,-220,-,POS Purchase,Regent & Priestman 1 FrederictonNB,NULL
10/30/2018,-72.95,-,POS Purchase,Fpos Sobeys #535 Qfrederictonnbcd,NULL
11/1/2018,-362.5,-,Rent/Lease,Skyfall,NULL
11/2/2018,-12.65,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
11/2/2018,-5.74,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
11/3/2018,-13.71,-,POS Purchase,Fpos A&W Main Street Plazfrederictonnbca,NULL
11/3/2018,-82.86,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
11/8/2018,-15.8,-,POS Purchase,Greco Pizza Frederictonnbcd,NULL
11/10/2018,-4.99,-,POS Purchase,Opos Spotify P0831353E6 Stockholm SE,NULL
11/10/2018,-15.5,-,POS Purchase,Fpos A&W #7111 Frederictonnbca,NULL
11/10/2018,-16.34,-,POS Purchase,Wal-Mart #3032 Frederictonnbca,NULL
11/13/2018,-6.82,-,Miscellaneous Payment,Paypal,NULL
11/14/2018,-139.81,-,POS Purchase,Wal-Mart #3032 Frederictonnbca,NULL
11/15/2018,-9.53,-,POS Purchase,Fpos Subway # 5290 Frederictonnbcd,NULL
11/19/2018,-40.01,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
11/19/2018,-11.43,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
11/22/2018,-27.62,-,POS Purchase,Greco Pizza Frederictonnbcd,NULL
11/23/2018,-11.43,-,POS Purchase,Fpos A&W #7111 Frederictonnbca,NULL
11/23/2018,-11.48,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
11/24/2018,-15.53,-,POS Purchase,Rotisserie St Hubert # Frederictonnbca,NULL
11/26/2018,-13.89,-,POS Purchase,Fpos Manchu Wok Restauranfrederictonnb- CA,NULL
11/26/2018,-11.59,-,POS Purchase,Pretzelmaker Frederictonnbcd,NULL
11/26/2018,-660,-,WITHDRAWAL        ,03792670 MB-Email Money Trf,NULL
11/26/2018,0,-,Service Charge,MB-Free Email Money Trf,NULL
11/27/2018,-11.9,-,POS Purchase,Domino'S Pizza #10902 Frederictonnbcd,NULL
